127.0.0.1, 2013-07-31 18:20:14, GET, /admin/static/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000546
127.0.0.1, 2013-07-31 18:20:14, GET, /admin/static/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000502
127.0.0.1, 2013-07-31 18:20:14, GET, /admin/static/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000976
127.0.0.1, 2013-07-31 18:20:14, GET, /admin/static/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000382
127.0.0.1, 2013-07-31 18:20:14, GET, /admin/static/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001582
127.0.0.1, 2013-07-31 18:20:14, GET, /admin/static/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000781
127.0.0.1, 2013-07-31 18:20:14, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000686
127.0.0.1, 2013-07-31 18:20:14, GET, /admin/static/js/typeahead.min.js, HTTP/1.1, 200, 0.000702
127.0.0.1, 2013-07-31 18:20:14, GET, /admin/static/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000657
127.0.0.1, 2013-07-31 18:20:14, GET, /admin/static/images/files_toggle.png, HTTP/1.1, 200, 0.000354
127.0.0.1, 2013-07-31 18:20:14, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.028005
127.0.0.1, 2013-07-31 18:20:14, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000367
127.0.0.1, 2013-07-31 18:20:14, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.021853
127.0.0.1, 2013-07-31 18:20:21, GET, /admin/default/index, HTTP/1.1, 303, 0.005378
127.0.0.1, 2013-07-31 18:20:21, GET, /admin/default/site, HTTP/1.1, 200, 0.030558
127.0.0.1, 2013-07-31 18:20:21, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.001054
127.0.0.1, 2013-07-31 18:20:21, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000808
127.0.0.1, 2013-07-31 18:20:21, GET, /admin/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000414
127.0.0.1, 2013-07-31 18:20:21, POST, /admin/default/check_version, HTTP/1.1, 200, 0.394956
127.0.0.1, 2013-07-31 18:20:29, GET, /admin/default/site, HTTP/1.1, 200, 0.022866
127.0.0.1, 2013-07-31 18:20:29, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000643
127.0.0.1, 2013-07-31 18:20:29, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000283
127.0.0.1, 2013-07-31 18:20:29, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000182
127.0.0.1, 2013-07-31 18:20:29, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000657
127.0.0.1, 2013-07-31 18:20:29, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000502
127.0.0.1, 2013-07-31 18:20:29, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000794
127.0.0.1, 2013-07-31 18:20:29, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000311
127.0.0.1, 2013-07-31 18:20:29, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001019
127.0.0.1, 2013-07-31 18:20:29, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000657
127.0.0.1, 2013-07-31 18:20:29, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000522
127.0.0.1, 2013-07-31 18:20:29, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000204
127.0.0.1, 2013-07-31 18:20:29, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000226
127.0.0.1, 2013-07-31 18:20:37, POST, /admin/default/site, HTTP/1.1, 303, 0.042944
127.0.0.1, 2013-07-31 18:20:37, GET, /admin/default/design/easyflow, HTTP/1.1, 200, 0.085353
127.0.0.1, 2013-07-31 18:20:37, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000244
127.0.0.1, 2013-07-31 18:20:37, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000149
127.0.0.1, 2013-07-31 18:20:37, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000145
127.0.0.1, 2013-07-31 18:20:37, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000146
127.0.0.1, 2013-07-31 18:20:42, GET, /easyflow/appadmin/index, HTTP/1.1, 200, 0.408293
127.0.0.1, 2013-07-31 18:20:42, GET, /easyflow/static/js/jquery.js, HTTP/1.1, 200, 0.000196
127.0.0.1, 2013-07-31 18:20:42, GET, /easyflow/static/js/calendar.js, HTTP/1.1, 200, 0.000153
127.0.0.1, 2013-07-31 18:20:42, GET, /easyflow/static/css/calendar.css, HTTP/1.1, 200, 0.000148
127.0.0.1, 2013-07-31 18:20:42, GET, /easyflow/static/js/web2py.js, HTTP/1.1, 200, 0.000144
127.0.0.1, 2013-07-31 18:20:42, GET, /easyflow/static/css/web2py.css, HTTP/1.1, 200, 0.000192
127.0.0.1, 2013-07-31 18:20:42, GET, /easyflow/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002036
127.0.0.1, 2013-07-31 18:20:42, GET, /easyflow/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001149
127.0.0.1, 2013-07-31 18:20:42, GET, /easyflow/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000930
